id,id_provinsi,id_kabupaten,nama
10,11,1,Teupah Selatan
10,11,2,Pulau Banyak
10,11,3,Trumon
10,11,4,Lawe Alas
10,11,6,Linge
10,11,8,Lhoong
10,11,9,Geumpang
10,11,10,Samalanga
10,11,11,Sawang
10,11,12,Manggeng
10,11,13,Kuta Panjang
10,11,14,Tamiang Hulu
10,11,15,Darul Makmur
10,11,16,Teunom
10,11,17,Timang Gajah
10,11,18,Meureudu
10,11,71,Meuraxa
10,11,72,Sukajaya
10,11,73,Langsa Timur
10,11,74,Blang Mangat
10,11,75,Simpang Kiri
10,12,2,Batahan
10,12,3,Batang Angkola
10,12,4,Pinang Sori
10,12,8,Bandar Pasir Mandoge
10,12,9,Silimakuta
10,12,11,Mardingding
10,12,12,Gunung Meriah
10,12,13,Bohorok
10,12,14,Hibala
10,12,15,Pakkat
10,12,16,Salak
10,12,17,Sianjur Mula Mula
10,12,18,Kotarih
10,12,19,Sei Balai
10,12,20,Batang Onang
10,12,21,Sosopan
10,12,22,Sungai Kanan
10,12,23,Na Ix-x
10,12,24,Tugala Oyo
10,12,25,Sirombu
10,12,71,Sibolga Utara
10,12,72,Datuk Bandar
10,12,73,Siantar Marihat
10,12,74,Padang Hulu
10,12,75,Medan Tuntungan
10,12,76,Binjai Selatan
10,12,77,Padangsidimpuan Tenggara
10,12,78,Gunungsitoli Idanoi
10,13,5,Sepuluh Koto
10,13,6,Batang Anai
10,13,7,Tanjung Mutiara
10,13,8,Payakumbuh
10,13,10,Sangir
10,13,11,Sungai Rumbai
10,13,12,Sungai Beremas
10,13,71,Bungus Teluk Kabung
10,13,72,Lubuk Sikarah
10,13,73,Silungkang
10,13,74,Padang Panjang Barat
10,13,75,Guguk Panjang
10,13,76,Payakumbuh Barat
10,13,77,Pariaman Selatan
10,14,1,Kuantan Mudik
10,14,2,Peranap
10,14,3,Keritang
10,14,4,Langgam
10,14,5,Minas
10,14,6,Kampar Kiri
10,14,7,Rokan Iv Koto
10,14,8,Mandau
10,14,9,Tanah Putih
10,14,10,Tebing Tinggi Barat
10,14,71,Tampan
10,14,73,Bukit Kapur
10,15,1,Gunung Raya
10,15,2,Jangkat
10,15,3,Batang Asai
10,15,4,Mersam
10,15,5,Mestong
10,15,6,Mendahara
10,15,7,Tungkal Ulu
10,15,8,Tebo Ilir
10,15,9,Pelepat
10,15,71,Kota Baru
10,15,72,Tanah Kampung
10,16,2,Lempuing
10,16,3,Semendo Darat Laut
10,16,6,Sanga Desa
10,16,7,Rantau Bayur
10,16,8,Mekakau Ilir
10,16,9,Martapura
10,16,10,Muara Kuang
10,16,11,Muara Pinang
10,16,12,Talang Ubi
10,16,13,Ulu Rawas
10,16,71,Ilir Barat Ii
10,16,72,Rambang Kapak Tengah
10,16,73,Dempo Selatan
10,17,3,Enggano
10,17,4,Nasal
10,17,5,Semidang Alas Maras
10,17,6,Ipuh
10,17,7,Rimbo Pengadang
10,17,8,Muara Kemumu
10,17,9,Talang Empat
10,17,71,Selebar
10,18,2,Wonosobo
10,18,4,Metro Kibang
10,18,5,Padang Ratu
10,18,6,Bukit Kemuning
10,18,7,Banjit
10,18,9,Punduh Pidada
10,18,10,Pardasuka
10,18,11,Way Serdang
10,18,12,Tulang Bawang Udik
10,18,13,Lemong
10,18,71,Teluk Betung Barat
10,19,2,Membalong
10,19,3,Kelapa
10,19,4,Koba
10,19,5,Payung
10,19,6,Dendang
10,19,71,Rangkui
10,21,1,Moro
10,21,4,Singkep Barat
10,21,5,Jemaja
10,21,71,Belakang Padang
10,21,72,Bukit Bestari
10,31,1,Kepulauan Seribu Selatan
10,31,71,Jagakarsa
10,31,72,Pasar Rebo
10,31,73,Tanah Abang
10,31,74,Kembangan
10,31,75,Penjaringan
10,32,1,Nanggung
10,32,2,Ciemas
10,32,3,Agrabinta
10,32,4,Ciwidey
10,32,5,Cisewu
10,32,6,Cipatujah
10,32,8,Darma
10,32,9,Waled
10,32,10,Lemahsugih
10,32,11,Jatinangor
10,32,12,Haurgeulis
10,32,13,Sagalaherang
10,32,14,Jatiluhur
10,32,15,Pangkalan
10,32,16,Setu
10,32,17,Rongga
10,32,18,Cimerak
10,32,71,Bogor Selatan
10,32,72,Baros
10,32,73,Bandung Kulon
10,32,74,Harjamukti
10,32,75,Pondokgede
10,32,76,Sawangan
10,32,77,Cimahi Selatan
10,32,78,Kawalu
10,32,79,Banjar
10,33,1,Dayeuhluhur
10,33,2,Lumbir
10,33,3,Kemangkon
10,33,4,Susukan
10,33,5,Ayah
10,33,6,Grabag
10,33,7,Wadaslintang
10,33,8,Salaman
10,33,9,Selo
10,33,10,Prambanan
10,33,11,Weru
10,33,12,Pracimantoro
10,33,13,Jatipuro
10,33,14,Kalijambe
10,33,15,Kedungjati
10,33,16,Jati
10,33,17,Sumber
10,33,18,Sukolilo
10,33,19,Kaliwungu
10,33,20,Kedung
10,33,21,Mranggen
10,33,22,Getasan
10,33,23,Parakan
10,33,24,Plantungan
10,33,25,Wonotunggal
10,33,26,Kandangserang
10,33,27,Moga
10,33,28,Margasari
10,33,29,Salem
10,33,71,Magelang Selatan
10,33,72,Laweyan
10,33,73,Argomulyo
10,33,74,Mijen
10,33,75,Pekalongan Barat
