id,id_provinsi,id_kabupaten,id_kecamatan,nama
16,18,10,40,Pringsewu Utara
17,18,10,40,Pringsewu Selatan
18,18,10,40,Pringsewu Barat
19,18,10,40,Pringsewu Timur
1,11,1,10,Latiung
2,11,1,10,Labuhan Bajau
3,11,1,10,Suak Lamatan
4,11,1,10,Ana Ao
5,11,1,10,Lataling
6,11,1,10,Pulau Bengkalak
7,11,1,10,Badegong
8,11,1,10,Kebun Baru
9,11,1,10,Ulul Mayang
10,11,1,10,Pasir Tinggi
11,11,1,10,Labuhan Jaya
12,11,1,10,Labuhan Bakti
13,11,1,10,Batu Ralang
14,11,1,10,Alus Alus
15,11,1,10,Seuneubok
16,11,1,10,Blang Sebel
17,11,1,10,Trans Baru
18,11,1,10,Trans Meranti
19,11,1,10,Trans Jernge
22,11,1,20,Air Pinang
23,11,1,20,Kuala Makmur
24,11,1,20,Ganting
25,11,1,20,Linggi
26,11,1,20,Lugu
27,11,1,20,Sinabang
28,11,1,20,Suka Maju
29,11,1,20,Suka Karya
30,11,1,20,Suka Jaya
31,11,1,20,Air Dingin
32,11,1,20,Kota Batu
35,11,1,20,Suak Buluh
36,11,1,20,Ujung Tinggi
37,11,1,20,Pulau Siumat
38,11,1,20,Sefoyan
39,11,1,20,Amaiteng Mulia
40,11,1,20,Ameria Bahagia
1,11,1,21,Sital
2,11,1,21,Leubang
3,11,1,21,Leubang Hulu
4,11,1,21,Awe Seubal
5,11,1,21,Lantik
6,11,1,21,Awe Kecil
7,11,1,21,Salur
8,11,1,21,Salur Latun
9,11,1,21,Salur Lasengalu
10,11,1,21,Nancala
11,11,1,21,Maudil
12,11,1,21,Inor
13,11,1,21,Naibos
14,11,1,21,Laayon
15,11,1,21,Angkeo
16,11,1,21,Bunon
17,11,1,21,Silengas
18,11,1,21,Pulau Teupah
1,11,1,22,Kahat
2,11,1,22,Busung Indah
3,11,1,22,Nancawa
4,11,1,22,Labuah
5,11,1,22,Abail
6,11,1,22,Simpang Abail
7,11,1,22,Lanting
8,11,1,22,Lasikin
9,11,1,22,Matanurung
10,11,1,22,Sua Sua
11,11,1,22,Batu Batu
12,11,1,22,Situbuk
1,11,1,30,Dihit
2,11,1,30,Lauke
3,11,1,30,Lambaya
4,11,1,30,Lakubang
5,11,1,30,Kampung Aie
6,11,1,30,Lauree
7,11,1,30,Latitik
8,11,1,30,Lamayang
9,11,1,30,Wel Wel
20,11,1,30,Situfa Jaya
21,11,1,30,Putra Jaya
22,11,1,30,Luan Sorip
23,11,1,30,Suak Baru
24,11,1,30,Sebbe
25,11,1,30,Kuta Baru
26,11,1,30,Wel Langkom
1,11,1,31,Kuala Bakti
2,11,1,31,Lugu Sebahak
3,11,1,31,Gunung Putih
4,11,1,31,Babussalam
5,11,1,31,Muara Aman
6,11,1,31,Luan Balu
7,11,1,31,Sambai
8,11,1,31,Kuala Baru
9,11,1,31,Tanjung Raya
10,11,1,31,Bulu Hadik
1,11,1,32,Bubuhan
2,11,1,32,Amarabu
3,11,1,32,Kuta Inang
4,11,1,32,Kuta Padang
5,11,1,32,Latak Ayah
6,11,1,32,Sibuluh
7,11,1,32,Borengan
8,11,1,32,Ujung Padang
1,11,1,40,Ujung Salang
2,11,1,40,Padang Unoi
3,11,1,40,Meunafa
4,11,1,40,Nasreuhe
5,11,1,40,Along
6,11,1,40,Panton Lawe
7,11,1,40,Mutiara
8,11,1,40,Karya Bakti
9,11,1,40,Tamon Jaya
10,11,1,40,Jaya Baru
11,11,1,40,Tameng
12,11,1,40,Lalla Bahagia
13,11,1,40,Suak Manang
14,11,1,40,Bunga
15,11,1,40,Ganang Pusako
16,11,1,40,Kenangan Jaya
7,11,1,50,Sanggiran
8,11,1,50,Amabaan
9,11,1,50,Miteum
10,11,1,50,Malasin
11,11,1,50,Lamamek
12,11,1,50,Sigulai
13,11,1,50,Sembilan
14,11,1,50,Layabaung
15,11,1,50,Lhok Makmur
16,11,1,50,Ujung Harapan
17,11,1,50,Lhok Bikhao
18,11,1,50,Babul Makmur
19,11,1,50,Batu Ragi
20,11,1,50,Sinar Bahagia
1,11,1,51,Lafakha
2,11,1,51,Lhok Dalam
3,11,1,51,Lubuk Baik
4,11,1,51,Langi
5,11,1,51,Serafon
6,11,1,51,Lhok Pauh
7,11,1,51,Lamerem
8,11,1,51,Lewak
3,11,2,10,Pulau Baguk
4,11,2,10,Pulau Balai
5,11,2,10,Teluk Nibung
1,11,2,11,Asantola
2,11,2,11,Ujung Sialit
3,11,2,11,Haloban
4,11,2,11,Suka Makmur
3,11,2,20,Pulo Sarok
4,11,2,20,Pasar Singkil
5,11,2,20,Ujung
6,11,2,20,Kota Simboling
7,11,2,20,Kilangan
9,11,2,20,Teluk Ambun
10,11,2,20,Rantau Gedang
11,11,2,20,Teluk Rumbia
12,11,2,20,Takal Pasir
13,11,2,20,Selok Aceh
14,11,2,20,Pea Bumbung
15,11,2,20,Pemuka
19,11,2,20,Suka Damai
20,11,2,20,Ujung Bawang
21,11,2,20,Siti Ambia
22,11,2,20,Suka Makmur
1,11,2,21,Gosong Telaga Utara
2,11,2,21,Gosong Telaga Selatan
3,11,2,21,Gosong Telaga Timur
4,11,2,21,Telaga Bakti
5,11,2,21,Kampung Baru
6,11,2,21,Ketapang Indah
7,11,2,21,Gosong Telaga Barat
1,11,2,22,Kayu Menang
2,11,2,22,Kuala Baru Sungai
3,11,2,22,Kuala Baru Laut
4,11,2,22,Suka Jaya
17,11,2,30,Pangi
26,11,2,30,Tugan
27,11,2,30,Cibubukan
28,11,2,30,Kain Golong
29,11,2,30,Sukarejo
30,11,2,30,Tuh Tuhan
31,11,2,30,Lae Gecih
32,11,2,30,Siatas
33,11,2,30,Kuta Kerangan
34,11,2,30,Lipat Kajang
35,11,2,30,Tanjung Mas
36,11,2,30,Serasah
38,11,2,30,Ujung Limus
39,11,2,30,Silatong
40,11,2,30,Lae Riman
41,11,2,30,Pertabas
42,11,2,30,Kuta Tinggi
43,11,2,30,Lae Nipe
44,11,2,30,Pakiraman
48,11,2,30,Lae Gambir
49,11,2,30,Kuta Batu
50,11,2,30,Guha
51,11,2,30,Lipat Kajang Atas
52,11,2,30,Sidodadi
53,11,2,30,Pandan Sari
1,11,2,31,Pertampakan
2,11,2,31,Tanah Merah
3,11,2,31,Sebatang
4,11,2,31,Seping Baru
5,11,2,31,Perangusan
6,11,2,31,Gunung Lagan
7,11,2,31,Tanah Bara
8,11,2,31,Suka Makmur
9,11,2,31,Sidorejo
10,11,2,31,Pandan Sari
11,11,2,31,Blok 31
12,11,2,31,Blok 18
13,11,2,31,Sanggaberu Silulusan
14,11,2,31,Blok 15
15,11,2,31,Tulaan
16,11,2,31,Blok Vi Baru
17,11,2,31,Tunas Harapan
18,11,2,31,Lae Butar
19,11,2,31,Rimo
20,11,2,31,Sianjo Anjo Meriah
21,11,2,31,Cingkam
22,11,2,31,Bukit Harapan
23,11,2,31,Penjahitan
